Customer_ID,Age,Annual_Income_INR,Employment_Years,Employment_Type,Education,Marital_Status,Home_Ownership,Loan_Amount,Loan_Term_Months,Existing_Debt,Debt_To_Income_Ratio,Credit_History_Years,Missed_Payments,Credit_Utilization_Percent,Number_of_Credit_Cards,Number_of_Active_Loans,Savings_Balance,Checking_Balance,Creditworthy_Target
1,25,639053,0,Business,Bachelor,Married,Rent,271429,24,320937,92.69,12,0,61.2,3,1,1178589,435178,1
2,58,258596,35,Salaried,Bachelor,Married,Mortgage,1529545,60,1066856,1004.04,2,1,14.1,0,0,2540427,628102,0
3,53,1635359,26,Business,Master,Married,Rent,1731240,12,846871,157.65,4,1,52.6,1,4,472712,801725,0
4,42,1764594,13,Self-Employed,Bachelor,Married,Own,2210566,12,304042,142.5,7,1,59.6,6,4,753531,571764,1
5,42,1972467,19,Salaried,Bachelor,Married,Own,1737952,48,704302,123.82,12,1,49.4,1,5,2295293,610646,1
6,63,2385151,32,Self-Employed,Bachelor,Married,Rent,605264,12,54983,27.68,26,0,55.0,0,2,2714174,808680,1
7,25,1333877,0,Salaried,High School,Married,Own,1132120,60,1052701,163.79,3,1,6.3,1,1,872840,785036,0
8,55,2103629,33,Salaried,High School,Single,Own,1359182,48,455699,86.27,17,3,25.2,7,4,1605805,172498,1
9,30,1841795,0,Salaried,High School,Divorced,Rent,2952634,24,575219,191.54,10,1,72.3,7,5,1458653,338556,0
10,25,823099,5,Unemployed,High School,Married,Own,1620963,24,235704,225.57,1,1,39.4,5,5,2180500,493680,0
11,46,2140679,17,Self-Employed,Bachelor,Married,Own,1923185,48,547472,115.41,18,4,89.5,6,2,1498127,934032,1
12,68,303714,42,Salaried,High School,Married,Mortgage,2219917,60,593682,926.4,21,0,19.4,7,3,1835014,606873,0
13,57,1569424,28,Salaried,High School,Married,Own,1118605,72,337432,92.78,28,2,76.3,2,4,2007398,813656,1
14,58,2361615,27,Salaried,High School,Single,Rent,2895138,60,1469019,184.8,15,2,32.8,3,4,2487116,794924,1
15,56,1708794,26,Salaried,Bachelor,Single,Rent,2040985,48,419715,144.0,9,0,62.2,0,3,416265,915485,1
16,59,2353985,30,Salaried,Master,Single,Mortgage,2552412,60,271607,119.97,25,1,39.1,4,0,1989419,518233,1
17,46,310287,14,Self-Employed,Bachelor,Married,Own,2260202,60,822309,993.44,7,1,47.3,7,3,542190,262796,0
18,27,1415203,0,Salaried,Bachelor,Married,Own,1883479,36,478310,166.89,20,2,56.9,0,1,33220,411242,0
19,62,1991020,30,Self-Employed,Bachelor,Single,Rent,141085,24,680944,41.29,28,1,32.7,5,2,2149317,6569,1
20,43,1670176,17,Self-Employed,Bachelor,Single,Rent,1771739,48,1087671,171.2,0,1,61.0,3,3,1170825,683773,0
21,45,2222844,22,Salaried,PhD,Married,Mortgage,432056,12,117334,24.72,27,1,39.7,7,0,2150085,615481,1
22,39,1253232,16,Business,Bachelor,Married,Own,1829400,24,763774,206.92,6,1,48.6,4,2,2815092,165125,1
23,29,1763639,0,Unemployed,Bachelor,Married,Own,2119127,24,32521,122.0,14,4,1.0,3,1,386647,492578,0
24,66,1153855,39,Salaried,Master,Single,Own,1658276,48,65892,149.43,7,5,38.3,0,0,1354357,716094,1
25,59,2203317,38,Salaried,Bachelor,Married,Rent,959900,84,138784,49.86,4,0,70.3,4,3,296537,778954,1
26,52,457120,29,Business,Bachelor,Married,Own,225120,84,242535,102.3,21,2,58.9,7,4,2485153,775906,1
27,40,769558,6,Self-Employed,Bachelor,Single,Own,2029604,12,524156,331.85,14,2,62.7,0,5,2998500,97493,0
28,61,404466,31,Unemployed,High School,Single,Rent,2109974,72,1402874,868.52,15,1,46.1,0,4,2606879,373671,0
29,47,1808872,16,Salaried,Bachelor,Married,Own,1459903,24,1359307,155.85,14,1,78.5,7,1,2981009,595446,1
30,42,719938,20,Self-Employed,Master,Married,Own,2163193,84,154747,321.96,22,1,50.8,2,0,997733,105260,0
31,43,915759,23,Salaried,Bachelor,Married,Own,2348390,24,1486760,418.79,28,2,31.8,4,4,834347,198898,0
32,32,2121006,8,Salaried,High School,Single,Mortgage,1561817,12,952639,118.55,15,2,62.1,4,0,2573174,942910,1
33,25,1015623,0,Salaried,Bachelor,Married,Rent,190642,72,830542,100.55,4,0,63.5,3,2,1955207,514598,0
34,48,518330,21,Self-Employed,Master,Married,Rent,2617643,72,1188488,734.31,9,1,57.6,3,2,1132304,578285,0
35,64,228651,33,Salaried,Bachelor,Married,Rent,1426874,36,726661,941.84,14,1,36.9,5,1,631101,158321,0
